Video Title,Like Count,View Count,Comment Count,Subscriber Count,video_id,mean_sentiment
Most Extreme Collections!,646006,42209885,7417,28000000,diwlAeVHNCI,0.53207004
Most Dangerous Animals!,491385,31635020,6577,28000000,RcTLBsXvzQk,0.5076709
Most Expensive iPhone!,1000535,62649007,12618,28000000,qK_qK_UKu-Q,0.5305847
Most Expensive Fails!,501882,24992826,7806,28000000,Ops-wTBCTwA,0.46891427
Lamborghini Made From Cardboard!,707697,36481699,33779,28000000,O5xlSWOQsDA,0.47795022
Unluckiest People In The World!,466517,29120539,8589,28000000,qAtyzHZc7l8,0.47230676
Impossible Moments Caught On Camera!,384655,21656114,3818,28000000,I4bxOuhl8TE,0.49410668
World's Fastest Workers!,1024332,58338843,20460,28000000,Rw7qsAoJs3g,0.5003778
Insane Cake Cutting!,825013,33008420,22601,28000000,dfJaOg3jo1M,0.46345484
Hydraulic Press vs 1000 Sheets Of Paper,821951,42273439,17616,28000000,ZRjgy6RAupY,0.47886354
World's Largest Oreo!,980014,46345166,14463,28000000,GjMmsEwIcl0,0.58256346
Insane BMX Downhill!,965405,64892609,16857,28000000,L1ug9p8uECU,0.49563465
Most Popular TikToks!,454149,23215442,5261,28000000,AOkNx8KAtR4,0.5717568
People With Amazing Talent!,656839,40829883,8872,28000000,_t9LL1VcG3Q,0.5226795
Most Skilled Workers In The World!,531039,34380611,8382,28000000,TbLm5CCAbIU,0.51623255
Most Heavily Guarded Homes On Earth!,599352,26693075,14547,28000000,JBja-4mS_nM,0.52946764
Most Expensive Luxury Items!,832494,52724398,17215,28000000,PJC-oRDwwY8,0.4769931
Insane Waterpark BMX!,421022,30195510,7525,28000000,pHz9tefho28,0.4968425
Cycling On Ice!,564091,17355631,11847,28000000,YQB6-F2TnAc,0.47052643
Moments Before Disaster!,892872,65296236,13232,28000000,CK78QUMcZL8,0.49671277
Most Expensive Airplane Ticket!,730954,38502338,12552,28000000,_iz5_DuY_II,0.560673
"Jumping from 128,000 Feet!",402026,16358228,10754,28000000,m9soynkOA0A,0.4916946
Impossible 0.0000001% Odds!,919842,44466010,22083,28000000,nowJp4hsQ7k,0.52801543
Longest Car Jump!,504132,20281681,12897,28000000,qOSs7aMzrNM,0.48623273
World’s Fastest Big Mac Ever Eaten,1098019,63781140,24935,28000000,vd57lL4a8Iw,0.4986412
Insane Mountain Bike Downhill!,383870,22812172,4071,28000000,5gAAAOkqaxg,0.5011644
Squid Game Without CGI!,855274,38413905,14837,28000000,GvXEe4ucuXI,0.48247722
Arm Wrestling A Bear!,451804,21299703,9208,28000000,6-aGt23ytyI,0.5658021
World’s Most Expensive Car!,1193654,59456515,26274,28000000,hDYFFYUzxQQ,0.44000816
Real Flying Suit!,406654,16388695,12791,28000000,T8J_liUBONQ,0.48232746
I Strapped A GoPro To A Fish!,489955,35272305,6202,28000000,NigrQ9UcJy4,0.48449534
How Long Does A Pencil Last?,1214353,75225159,29138,28000000,Dt-IFSvDJic,0.50416803
Most Unusual Houses!,566526,32020128,9660,28000000,IWWv3dq4Gb4,0.5351517
1 Tank vs 10 Cars!,484581,30400893,5222,28000000,F5wMOCZHcH4,0.5462726
AMAZING WATERMELON EXPERIMENTS,262079,15615224,12086,28000000,92Pv568h_i8,0.40754658
World’s Largest Elephant Toothpaste!,779512,31738698,28774,28000000,srvctbwq_cw,0.4888237
LIQUID NITROGEN VS LOCK!,63747,2917956,1619,28000000,mHKMZFL5bH4,0.47087556
Most Expensive Hotel Room!,451266,15594140,26851,28000000,pgvBPAsDf2A,0.5123762
The Best 900 IQ Outplay Ever!,411172,14953195,7851,28000000,a9DXfJC41-Q,0.49402565
Amazing Simple Electric Train,68761,5328476,2177,28000000,RUuAeqS85E8,0.40386486
DIY COCA COLA CRAFTS!,66942,4780098,1621,28000000,VyKkWaDwWOY,0.44986567
INSANE COCA COLA TRICK,53204,4240079,5306,28000000,yeQxRn8jJnc,0.5255614
INSANE MATCH STICK INVENTIONS,79921,4607065,1982,28000000,syWfZDotPe0,0.44248027
"1,000 Degree Ball vs Sponge!",263245,21003658,4967,28000000,-aGyKfXFaSA,0.4616146
How to Make a Match House and Burn It,16441,1334719,2133,28000000,z9ypw1gwJvA,0.41786852
Crazy Super Hero Matchstick Creations,119848,8152439,1818,28000000,qkDkc2VQKZY,0.42846337
10 CRAZY DRILL LIFE HACKS,45586,2624388,2022,28000000,QZvfKIvYPCM,0.36289993
BEST HOMEMADE MATCHES CRAFTS,166856,8715418,3259,28000000,S-smZjhefcE,0.4659791
INSANE DIY Coke Bottle Life Hacks,27570,1912559,1573,28000000,CNSVhfA9r60,0.34629607
CRAZY Unexpected Nutella Life Hacks!,110643,4810516,2628,28000000,BG9Imv5LtPg,0.3633519
Super Creative Matchstick Sculptures,49938,1952696,1308,28000000,-oS-zqDAJM4,0.47020173
EPIC WATERMELON LIFE HACKS!,155929,5224894,2180,28000000,sJ40pJMfCrM,0.41799614
INSANE Stretch Armstrong Experiments!,268937,14864015,13115,28000000,KN4kEpL4Dz8,0.48810923
THEY MADE A COCA COLA TIRE!,91848,3974800,2242,28000000,8AmvHzUO1NE,0.44132966
1000 Degree Cleaver vs BOOM POWDER!,247235,15745395,5112,28000000,ebTtEGY-Zq8,0.38957492
BEST SATISFYING SCIENCE EXPERIEMENTS,58154,3947421,1132,28000000,w7r-3obehrU,0.37955934
INSANELY SATISFYING JELLO PEPSI,142465,8619353,4796,28000000,7RhrmeT2wE4,0.432346
LAVA vs Industrial Equipment,85419,3250135,3300,28000000,qVL1F1eFhW0,0.39485282
Incredible Watermelon Experiments,30411,1735734,739,28000000,P1JmVdqWh44,0.447079
INSANELY SATISFYING MAGNETIC LIQUID,412848,22964375,6700,28000000,cDckEcFIfjE,0.3979134
DIY Homemade Bottle Launcher,22637,1833707,1042,28000000,SvkLcOjum7g,0.39790136
Thor’s Hammer vs Helmet!,207952,10673948,7746,28000000,LcygznDEc0s,0.4410471
ULTIMATE MATCHSTICK INVENTIONS,55663,4034010,2224,28000000,9QCeyfUAOI4,0.4151186
How Gallium Transforms Aluminium,109953,5783706,3213,28000000,UXXCLV5Bad8,0.40167096
Hydraulic Press vs Steel Weight!,140945,7577025,4609,28000000,RxxU3fY8bl8,0.5308584
Best of BeastHacks! - Matchstick Edition,25549,3510740,709,28000000,SMw8PK2Wn2I,0.42327714
Best of BeastHacks! - iPhone Edition,35877,3224192,1520,28000000,VyZ6VPiKIWY,0.37404403
INSANE EGG EXPERIMENTS,102939,5323524,2931,28000000,ub7Kig19Gxs,0.4251554
INCREDIBLE MATCHSTICK CRAFTS,72782,5723053,1139,28000000,RlQnBSXel7g,0.40674424
BOWLING BALL VS INDUSTRIAL SHREDDER,63626,4196277,2053,28000000,Are4A7VaZ28,0.458454
Awesome Free Energy DIY Life hacks,66238,7692380,4152,28000000,e3swpJrY7a0,0.3998966
CRAZY Watermelon Coca Cola Tricks!,33302,2330829,1223,28000000,LXj4-QsoMr4,0.35915807
GIANT MATCH ROCKET!,89665,6213110,2317,28000000,QJUkwZiPWc4,0.41524506
"Watermelon Vs 1,000 Degree Hydraulic Press!",102951,6444561,2316,28000000,jE4b3gQwDR0,0.51423717
"Will 40,000 M&Ms Flush?",213014,14643108,15772,28000000,Z0IADN0jOw8,0.41579896
Amazing life hacks tested,20760,2098144,1025,28000000,r-OLGfvEmGk,0.40813965
DIY COLOR PENCIL SKATEBOARD,120552,9564603,5862,28000000,aHIDAKF8_lE,0.4588848
How To See Magnetic Fields,62480,2806439,1685,28000000,_U77KHFz9dw,0.4055657
Wolverine Claws vs Watermelon!,104618,6988362,2337,28000000,G-W9rSXdX1Y,0.44954026
"1,000 Degree Knife vs Coca Cola",37185,2086501,1666,28000000,NS9coJnPsaA,0.47343615
100 GIANT MATCH BUNDLES VS FIRE,17843,1066627,2480,28000000,Gpev9C7VPpw,0.422114
Liquid Nitrogen vs Samsung!,32397,1396775,1016,28000000,u3t0GahceIY,0.41515198
10 CRAZY LIFE HACK EXPERIMENTS,118213,11821004,6720,28000000,7xrhfH-quzg,0.41448107
Ultimate Hydraulic Squishy Ball,93258,6561839,2366,28000000,baEwkL2zqpI,0.46184224
MENTOS VS COCA COLA UNDERWATER,34190,2679321,1424,28000000,886f8AAm8A4,0.3942753
This Amazing Life Hack Will Change Your Life,30522,2293018,2377,28000000,EqkdC9PsnUs,0.4629999
STRETCH ARMSTRONG LAVA EXPERIMENTS,75470,3909146,2469,28000000,G54-7cJQ35M,0.43642178
"ICE VS 3,000 DEGREE GAS TORCH",17929,1132654,1206,28000000,5-iiNwtNt_Y,0.39070597
1000 DEGREE METAL BALL VS MENTOS - EXPERIMENT,25819,2224322,2150,28000000,k3Vey3Ba4ww,0.44513196
INSANE MATCHES ROCKET!,132781,7566364,4048,28000000,AVnKEeGA060,0.44094276
Ultimate Chainsaw vs Pepsi!,16786,964034,776,28000000,DL45GyjCIfM,0.4163047
#1 Most Insane Magnet Life Hack Ever,321158,8772688,2642,28000000,fO3MoyzdQKI,0.42454618
Level 1 To Level 100 Trickshots!,292167,14682645,10495,28000000,uBOvI20os3o,0.49698025
LIQUID NITROGEN vs BATTERY SMASHED,20563,1085496,1143,28000000,ZKkIxZO23lk,0.41231152
Ultimate Coca Cola vs Mentos Experiment!,81667,4494580,2288,28000000,XZkE5hdYZYA,0.43043453
BEST HOMEMADE  EXPERIMENTS,41892,3630349,1720,28000000,YVNbgsnfTwM,0.46235904
The Best Last Minute Halloween DIY Life Hacks,67874,8506467,7984,28000000,URMz9f4P-4c,0.42348507
The Best Everyday DIY Life Hacks,26072,2497700,2154,28000000,FhpBYpkJ4fw,0.43136302
SUPER RICH GUY SHREDDING MONEY,42470,1720598,2041,28000000,-e50GdGhaJY,0.3872792
They Made A PLASMA LAUNCHER!,104264,4845288,3838,28000000,q0Lg9SCwmNU,0.3819122
1000 Degree Ball vs Toothpaste!,127351,6655596,2835,28000000,ks8XDpvqfGM,0.45684928
Funniest Animals On The Internet!,376488,17287756,12027,28000000,70dS-T5p07U,0.4766558
TESTING FIREWORKS UNDER ICE!,110096,4558636,2976,28000000,Sbq0jyWq_Kw,0.37962735
AMAZING FIRE EXPERIMENTS,46649,2222256,1274,28000000,mEXkhurB3PQ,0.42758915
The Best DIY Watermelon Life Hacks,146404,9873938,8292,28000000,crp1p8G-Kos,0.45434853
