Video Title,Like Count,View Count,Comment Count,Subscriber Count
"1,000 Degree Ball vs Sponge!",263245,21003658,4967,28000000
How to Make a Match House and Burn It,16441,1334719,2133,28000000
Crazy Super Hero Matchstick Creations,119848,8152439,1818,28000000
10 CRAZY DRILL LIFE HACKS,45586,2624388,2022,28000000
BEST HOMEMADE MATCHES CRAFTS,166856,8715418,3259,28000000
INSANE DIY Coke Bottle Life Hacks,27570,1912559,1573,28000000
CRAZY Unexpected Nutella Life Hacks!,110643,4810516,2628,28000000
Super Creative Matchstick Sculptures,49938,1952696,1308,28000000
EPIC WATERMELON LIFE HACKS!,155929,5224894,2180,28000000
INSANE Stretch Armstrong Experiments!,268937,14864015,13115,28000000
THEY MADE A COCA COLA TIRE!,91848,3974800,2242,28000000
1000 Degree Cleaver vs BOOM POWDER!,247235,15745395,5112,28000000
BEST SATISFYING SCIENCE EXPERIEMENTS,58154,3947421,1132,28000000
INSANELY SATISFYING JELLO PEPSI,142465,8619353,4796,28000000
LAVA vs Industrial Equipment,85419,3250135,3300,28000000
Incredible Watermelon Experiments,30411,1735734,739,28000000
INSANELY SATISFYING MAGNETIC LIQUID,412848,22964375,6700,28000000
DIY Homemade Bottle Launcher,22637,1833707,1042,28000000
Thor’s Hammer vs Helmet!,207952,10673948,7746,28000000
ULTIMATE MATCHSTICK INVENTIONS,55663,4034010,2224,28000000
How Gallium Transforms Aluminium,109953,5783706,3213,28000000
Hydraulic Press vs Steel Weight!,140945,7577025,4609,28000000
Best of BeastHacks! - Matchstick Edition,25549,3510740,709,28000000
Best of BeastHacks! - iPhone Edition,35877,3224192,1520,28000000
INSANE EGG EXPERIMENTS,102939,5323524,2931,28000000
INCREDIBLE MATCHSTICK CRAFTS,72782,5723053,1139,28000000
BOWLING BALL VS INDUSTRIAL SHREDDER,63626,4196277,2053,28000000
Awesome Free Energy DIY Life hacks,66238,7692380,4152,28000000
CRAZY Watermelon Coca Cola Tricks!,33302,2330829,1223,28000000
GIANT MATCH ROCKET!,89665,6213110,2317,28000000
"Watermelon Vs 1,000 Degree Hydraulic Press!",102951,6444561,2316,28000000
"Will 40,000 M&Ms Flush?",213014,14643108,15772,28000000
Amazing life hacks tested,20760,2098144,1025,28000000
DIY COLOR PENCIL SKATEBOARD,120552,9564603,5862,28000000
How To See Magnetic Fields,62480,2806439,1685,28000000
Wolverine Claws vs Watermelon!,104618,6988362,2337,28000000
"1,000 Degree Knife vs Coca Cola",37185,2086501,1666,28000000
100 GIANT MATCH BUNDLES VS FIRE,17843,1066627,2480,28000000
Liquid Nitrogen vs Samsung!,32397,1396775,1016,28000000
10 CRAZY LIFE HACK EXPERIMENTS,118213,11821004,6720,28000000
Ultimate Hydraulic Squishy Ball,93258,6561839,2366,28000000
MENTOS VS COCA COLA UNDERWATER,34190,2679321,1424,28000000
This Amazing Life Hack Will Change Your Life,30522,2293018,2377,28000000
STRETCH ARMSTRONG LAVA EXPERIMENTS,75470,3909146,2469,28000000
"ICE VS 3,000 DEGREE GAS TORCH",17929,1132654,1206,28000000
1000 DEGREE METAL BALL VS MENTOS - EXPERIMENT,25819,2224322,2150,28000000
INSANE MATCHES ROCKET!,132781,7566364,4048,28000000
Ultimate Chainsaw vs Pepsi!,16786,964034,776,28000000
#1 Most Insane Magnet Life Hack Ever,321158,8772688,2642,28000000
Level 1 To Level 100 Trickshots!,292167,14682645,10495,28000000
LIQUID NITROGEN vs BATTERY SMASHED,20563,1085496,1143,28000000
Ultimate Coca Cola vs Mentos Experiment!,81667,4494580,2288,28000000
BEST HOMEMADE  EXPERIMENTS,41892,3630349,1720,28000000
The Best Last Minute Halloween DIY Life Hacks,67874,8506467,7984,28000000
The Best Everyday DIY Life Hacks,26072,2497700,2154,28000000
SUPER RICH GUY SHREDDING MONEY,42470,1720598,2041,28000000
They Made A PLASMA LAUNCHER!,104264,4845288,3838,28000000
1000 Degree Ball vs Toothpaste!,127351,6655596,2835,28000000
Funniest Animals On The Internet!,376488,17287756,12027,28000000
TESTING FIREWORKS UNDER ICE!,110096,4558636,2976,28000000
AMAZING FIRE EXPERIMENTS,46649,2222256,1274,28000000
The Best DIY Watermelon Life Hacks,146404,9873938,8292,28000000
Dry Ice Swimming Pool!,95183,4966843,1454,28000000
"2,805 DEGREE LAVA VS Watermelon!",35527,2166564,1095,28000000
WORLD'S MOST SATISFYING KINETIC SAND!,25916,1877527,1979,28000000
Dropping an iPhone 11 Pro Down a Hole,98723,4948978,1662,28000000
Sledge Hammer vs Shredder!,117526,5948911,2316,28000000
GIGANTIC DIY FIREWORK,34212,1936608,798,28000000
INCREDIBLE LAVA EXPERIMENTS,29515,2459754,1235,28000000
REAL LAVA vs WATERMELON - EXPERIMENT,61250,2213103,1407,28000000
Coke vs Pepsi!,1197993,27842006,3846,28000000
TESTING GIANT FIRECRACKERS!,71793,3165005,1652,28000000
"1,000 Degree Ball VS iPhone 11",101602,3305295,1913,28000000
15 AWESOME BALLOON TRICKS!,142040,1838255,3396,28000000
MAKING POPCORN WITH A MOTORCYCLE EXHAUST,47153,2343139,1235,28000000
Hydraulic Press vs Bowling Ball!,44873,2341421,1255,28000000
WHAT CAN YOU CUT WITH PAPER?,87240,8149727,4799,28000000
Super Satisfying Kinetic Sand DIY,48342,3676034,4069,28000000
GIANT BLENDER VS MENTOS! - EXPERIMENT,54590,4126768,2838,28000000
1000 DEGREE METAL BALL VS ICE - EXPERIMENT,201493,13327119,7089,28000000
3 Amazing DIY Magic Illusions!,12073,743258,618,28000000
POURING COCA COLA IN A MOTORCYCLE EXHAUST,58081,3681254,1537,28000000
Amazing science experiments,37045,4230053,2988,28000000
Incredible Fire Proof Lock!,27547,1507058,601,28000000
SAMSUNG GALAXY S10 vs INDUSTRIAL SHREDDER,36960,2213137,877,28000000
LAVA vs MACBOOK PRO!,206665,11517856,5642,28000000
COOL CUSTOM FIRE CROSSBOW EXPERIMENT,46729,4683415,2926,28000000
LIQUID NITROGREN vs PEPSI SMASHED,62933,5216837,8920,28000000
DIY MINI HELICOPTER!,23654,1802639,1276,28000000
Crushing Super Satisfying Things By Car - DIY Crafts,14605,1020052,1515,28000000
AXE vs LITHIUM BATTERY,33780,3460499,2771,28000000
MENTOS VS COCA COLA WATERMELON,32541,2560515,2482,28000000
Lava vs Iphone XS!,44968,2089717,1541,28000000
SUPER CHARGED ROCKET HOT WHEELS!!,35128,3508166,3987,28000000
